Code,Name,Address,Postcode,Postcode nospace,URL,JSON,Council,Constituency,Ward,lat-lng
RTK01,Abbey Birth Centre,"Guildford Road, Chertsey, Surrey, KT16 0PZ",KT16 0PZ,KT160PZ,http://uk-postcodes.com/postcode/KT160PZ.json,"{""postcode"":""KT16 0PZ"",""geo"":{""lat"":51.37709240551443,""lng"":-0.5268255131994561,""easting"":502628.0,""northing"":165256.0,""geohash"":""http://geohash.org/gcpsk0bmk04m""},""administrative"":{""council"":{""title"":""Runnymede"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E07000212"",""code"":""E07000212""},""county"":{""title"":""Surrey"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E10000030"",""code"":""E10000030""},""ward"":{""title"":""Foxhills"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E05007357"",""code"":""E05007357""},""constituency"":{""title"":""Runnymede and Weybridge"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E14000907"",""code"":""E14000907""},""electoral_district"":{""title"":""Foxhills, Thorpe and Virginia Water"",""uri"":""http://data.ordnancesurvey.co.uk/id/7000000000042822"",""code"":""7000000000042822""}}}",Runnymede,Runnymede and Weybridge,Foxhills,"51.37709240551443,-0.5268255131994561"
RCF22,Airedale Birthing Centre,"Skipton Road, Steeton, Keighley, West Yorkshire, BD20 6TD",BD20 6TD,BD206TD,http://uk-postcodes.com/postcode/BD206TD.json,"{""postcode"":""BD20 6TD"",""geo"":{""lat"":53.898018388049614,""lng"":-1.9626796841252943,""easting"":402549.0,""northing"":444650.0,""geohash"":""http://geohash.org/gcwde7ffdnzg""},""administrative"":{""council"":{""title"":""Bradford"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E08000032"",""code"":""E08000032""},""ward"":{""title"":""Craven"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E05001349"",""code"":""E05001349""},""constituency"":{""title"":""Keighley"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E14000766"",""code"":""E14000766""},""parish"":{""title"":""Steeton with Eastburn"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E04000163"",""code"":""E04000163""}}}",Bradford,Keighley,Craven,"53.898018388049614,-1.9626796841252943"
RWG02,Alexandra Birth Centre,"Vicarage Road, Watford, Hertfordshire, WD18 0HB",WD18 0HB,WD180HB,http://uk-postcodes.com/postcode/WD180HB.json,"{""postcode"":""WD18 0HB"",""geo"":{""lat"":51.64905138499107,""lng"":-0.4044575812853036,""easting"":510485.0,""northing"":195678.0,""geohash"":""http://geohash.org/gcptyf3mx3n8""},""administrative"":{""council"":{""title"":""Watford"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E07000103"",""code"":""E07000103""},""county"":{""title"":""Hertfordshire"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E10000015"",""code"":""E10000015""},""ward"":{""title"":""Vicarage"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E05004848"",""code"":""E05004848""},""constituency"":{""title"":""Watford"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E14001021"",""code"":""E14001021""},""electoral_district"":{""title"":""Vicarage Holywell"",""uri"":""http://data.ordnancesurvey.co.uk/id/7000000000003803"",""code"":""7000000000003803""}}}",Watford,Watford,Vicarage,"51.64905138499107,-0.4044575812853036"
N161H,Alongside Maternity Unit,"Cornhill Road, Aberdeen, AB25 2ZL",AB25 2ZL,AB252ZL,http://uk-postcodes.com/postcode/AB252ZL.json,"{""postcode"":""AB25 2ZL"",""geo"":{""lat"":57.155263481105756,""lng"":-2.132057077733782,""easting"":392109.0,""northing"":807162.0,""geohash"":""http://geohash.org/gfnmpkz3x3r5""},""administrative"":{""council"":{""title"":""Aberdeen City"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/S12000033"",""code"":""S12000033""},""ward"":{""title"":""Midstocket/Rosemount"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/S13002482"",""code"":""S13002482""},""constituency"":{""title"":""Aberdeen North"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/S14000001"",""code"":""S14000001""}}}",Aberdeen City,Aberdeen North,Midstocket/Rosemount,"57.155263481105756,-2.132057077733782"
A111H,AMU Midwifery Suite,"Crosshouse, Kilmarnock, East Ayrshire, KA2 0BE",KA2 0BE,KA20BE,http://uk-postcodes.com/postcode/KA20BE.json,"{""postcode"":""KA2 0BE"",""geo"":{""lat"":55.6139474228427,""lng"":-4.539394070133529,""easting"":240160.0,""northing"":638520.0,""geohash"":""http://geohash.org/gcuu2snw8rnq""},""administrative"":{""council"":{""title"":""East Ayrshire"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/S12000008"",""code"":""S12000008""},""ward"":{""title"":""Kilmarnock West and Crosshouse"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/S13002555"",""code"":""S13002555""},""constituency"":{""title"":""Kilmarnock and Loudoun"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/S14000040"",""code"":""S14000040""}}}",East Ayrshire,Kilmarnock and Loudoun,Kilmarnock West and Crosshouse,"55.6139474228427,-4.539394070133529"
A111H,AMU Obstetric Unit,"Crosshouse, Kilmarnock, East Ayrshire, KA2 0BE",KA2 0BE,KA20BE,http://uk-postcodes.com/postcode/KA20BE.json,"{""postcode"":""KA2 0BE"",""geo"":{""lat"":55.6139474228427,""lng"":-4.539394070133529,""easting"":240160.0,""northing"":638520.0,""geohash"":""http://geohash.org/gcuu2snw8rnq""},""administrative"":{""council"":{""title"":""East Ayrshire"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/S12000008"",""code"":""S12000008""},""ward"":{""title"":""Kilmarnock West and Crosshouse"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/S13002555"",""code"":""S13002555""},""constituency"":{""title"":""Kilmarnock and Loudoun"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/S14000040"",""code"":""S14000040""}}}",East Ayrshire,Kilmarnock and Loudoun,Kilmarnock West and Crosshouse,"55.6139474228427,-4.539394070133529"
T304H,Arbroath Community Maternity Unit,"Rosemount Road, Arbroath, Angus, DD11 2AT",DD11 2AT,DD112AT,http://uk-postcodes.com/postcode/DD112AT.json,"{""postcode"":""DD11 2AT"",""geo"":{""lat"":56.55493061722929,""lng"":-2.5967168740407947,""easting"":363416.0,""northing"":740487.0,""geohash"":""http://geohash.org/gfn1szt0k55t""},""administrative"":{""council"":{""title"":""Angus"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/S12000041"",""code"":""S12000041""},""ward"":{""title"":""Arbroath West and Letham"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/S13002513"",""code"":""S13002513""},""constituency"":{""title"":""Angus"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/S14000004"",""code"":""S14000004""}}}",Angus,Angus,Arbroath West and Letham,"56.55493061722929,-2.5967168740407947"
RA301,Ashcombe Birth Centre,"Grange Road, Weston-Super-Mare, Somerset, BS23 4TQ",BS23 4TQ,BS234TQ,http://uk-postcodes.com/postcode/BS234TQ.json,"{""postcode"":""BS23 4TQ"",""geo"":{""lat"":51.322340027393764,""lng"":-2.971384822571162,""easting"":332406.0,""northing"":158585.0,""geohash"":""http://geohash.org/gcjguquq39wg""},""administrative"":{""council"":{""title"":""North Somerset"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E06000024"",""code"":""E06000024""},""ward"":{""title"":""Weston-Super-Mare Clarence and Uphill"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E05008605"",""code"":""E05008605""},""constituency"":{""title"":""Weston-Super-Mare"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E14001038"",""code"":""E14001038""},""parish"":{""title"":""Weston-Super-Mare"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E04012104"",""code"":""E04012104""}}}",North Somerset,Weston-Super-Mare,Weston-Super-Mare Clarence and Uphill,"51.322340027393764,-2.971384822571162"
RXQ02,Aylesbury Birth Centre,"Mandeville Road, Aylesbury, Buckinghamshire, HP21 8AL",HP21 8AL,HP218AL,http://uk-postcodes.com/postcode/HP218AL.json,"{""postcode"":""HP21 8AL"",""geo"":{""lat"":51.79830904470105,""lng"":-0.8027428681491198,""easting"":482658.0,""northing"":211751.0,""geohash"":""http://geohash.org/gcpqttx7n8xt""},""administrative"":{""council"":{""title"":""Aylesbury Vale"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E07000004"",""code"":""E07000004""},""county"":{""title"":""Buckinghamshire"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E10000002"",""code"":""E10000002""},""ward"":{""title"":""Mandeville and Elm Farm"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E05002612"",""code"":""E05002612""},""constituency"":{""title"":""Aylesbury"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E14000538"",""code"":""E14000538""},""parish"":{""title"":""Aylesbury"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E04001559"",""code"":""E04001559""},""electoral_district"":{""title"":""Aylesbury South-East"",""uri"":""http://data.ordnancesurvey.co.uk/id/7000000000011885"",""code"":""7000000000011885""}}}",Aylesbury Vale,Aylesbury,Mandeville and Elm Farm,"51.79830904470105,-0.8027428681491198"
RXQ02,Aylesbury Labour Ward,"Mandeville Road, Aylesbury, Buckinghamshire, HP21 8AL",HP21 8AL,HP218AL,http://uk-postcodes.com/postcode/HP218AL.json,"{""postcode"":""HP21 8AL"",""geo"":{""lat"":51.79830904470105,""lng"":-0.8027428681491198,""easting"":482658.0,""northing"":211751.0,""geohash"":""http://geohash.org/gcpqttx7n8xt""},""administrative"":{""council"":{""title"":""Aylesbury Vale"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E07000004"",""code"":""E07000004""},""county"":{""title"":""Buckinghamshire"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E10000002"",""code"":""E10000002""},""ward"":{""title"":""Mandeville and Elm Farm"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E05002612"",""code"":""E05002612""},""constituency"":{""title"":""Aylesbury"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E14000538"",""code"":""E14000538""},""parish"":{""title"":""Aylesbury"",""uri"":""http://statistics.data.gov.uk/id/statistical-geography/E04001559"",""code"":""E04001559""},""electoral_district"":{""title"":""Aylesbury South-East"",""uri"":""http://data.ordnancesurvey.co.uk/id/7000000000011885"",""code"":""7000000000011885""}}}",Aylesbury Vale,Aylesbury,Mandeville and Elm Farm,"51.79830904470105,-0.8027428681491198"
